NAME                                              STATUS    ISIN CODE           CODE      TRADING COUNTER NAME
21VIANETGPUS$200M7%N200817                                  XS1640517907        7I4B      21Vianet n7%200817S
21VIANETGPUS$300M7.875%N211015                              XS1976766045        9UHB      21Vianet n7.875%211015S
3CNERGY LIMITED                                             SG0502000029        502       3Cnergy
3CNERGY LIMITED W200528                                     SG5EE3000008        1E0W      3Cnergy W200528
3IINFOTECH US$2.435MCB170726                                XS0308551166        3JDB      3iInfotech cb170726S
3IINFOTECUS$125.356M5%CB170426                              XS0769181982        2CCB      3iInfoteccb5%170426S
3IINFOTEUSD16.323M2.5%CB250331                              XS1423751418        66DB      3iInfotec cb2.5%250331S
8TELECOM INTL HOLDINGS CO LTD                               BMG3087Y2074        AZG       8Telecom^
AA GROUP HOLDINGS LTD.                                      SG1S12926576        5GZ       AA
AANJANEYA US$40M5.44%CB180322                               XS0907573850        2RUB      Aanjaneya cb180322S
ABF SPORE BOND INDEX FUND ETF                               SG1S08926457        A35       ABF SG BOND ETF
ABJA INV S$300M 4.95%N230503                                SG55G7992081        2UDB      ABJA n4.95%230503 S
ABJA INV US$1B5.45%N280124                                  XS1753595328        8GCB      ABJA n5.45%280124S
ABJA INV US$300M4.45%N230124                                XS1753594198        8GBB      ABJA n4.45%230124S
ABR HOLDINGS LIMITED                                        SG0533000253        533       ABR
ABTERRA LTD                                                 SG2C12961455        L5I       Abterra^
ABUNDANCE INTERNATIONAL LTD                                 SG1I02877971        541       Abundance Intl
ABUNDANCE INTERNATIONALW210130                              SG5DQ0000007        1C4W      AbundanceIn eW210130
AC ENER FIN US$400M5.65%N                                   XS2082433736        TVPB      AC Ener n5.65%S
AC ENER FINUS$110M5.25%N290212                              XS1946107007        IDTB      AC Ener n5.25%290212S
AC ENER FINUS$225M4.75%N240129                              XS1940840132        OEHB      AC Ener n4.75%240129S
ACCORDIA GOLF TRUST                                         SG1AB5000009        ADQU      Accordia Golf Tr
ACCRELIST LTD                                               SGXE69448095        QZG       Accrelist Ltd
ACE ACHIEVE INFOCOM LIMITED                                 BMG007FR1026        A75       Ace Achieve Info^
ACESIAN PARTNERS LIMITED                                    SG1Q66923448        5FW       Acesian Partners
ACMA LTD.                                                   SG1BB6000006        AYV       Acma^
ACROMEC LIMITED                                             SG1CH1000006        43F       Acromec
ADANIELECT US$1B3.949%N300212A                              US00654GAA13        QPUB      AdaniEle n3.949%300212A
ADANIELECT US$1B3.949%N300212R                              XS2109438205        93CB      AdaniEle n3.949%300212R
ADANIGREEN US$500M6.25%N241210A                             US00654AAA43        X2LB      AdaniG n6.25%241210A
ADANIGREEN US$500M6.25%N241210R                             XS1854172043        989B      AdaniG n6.25%241210R
ADANIPORTS US$500M4%N270730A                                US00652MAD48        76EB      AdaniPorts n4%270730A
ADANIPORTS US$500M4%N270730R                                XS1636266832        76FB      AdaniPorts n4%270730R
ADANIPORTSUS$500M3.95%N220119A                              US00652MAC64        67IB      AdaniPortsn3.95%220119A
ADANIPORTSUS$500M3.95%N220119R                              USY00130HS90        67JB      AdaniPortsn3.95%220119R
ADANIPORTUS$650M3.375%N240724A                              US00652MAF95        8XXB      AdaniPortsn3.375%240724A
ADANIPORTUS$650M3.375%N240724R                              USY00130RW92        NDKB      AdaniPortsn3.375%240724R
ADANIPORTUS$750M4.375%N290703A                              US00652MAE21        JLCB      AdaniPortsn4.375%290703A
ADANIPORTUS$750M4.375%N290703R                              USY00130RP42        ZTWB      AdaniPortsn4.375%290703R
ADANIR US$362.5M4.625%N391015A                              US00654CAA09        FAYB      AdaniRen n4.625%391015A
ADANIR US$362.5M4.625%N391015R                              XS2057842176        GLKB      AdaniRen n4.625%391015R
ADANITRANS INR5B9.1%N210729                                 XS1449705869        4N5B      AdaniTran n9.1%210729S
ADANITRANS US$500M4%N260803A                                US00652XAA63        4O3B      AdaniTran n4%260803A
ADANITRANS US$500M4%N260803R                                XS1391575161        4O2B      AdaniTran n4%260803R
ADANITRANSUS$500M4.25%N360521A                              US00652XAB47        QONB      AdaniTran n4.25%360521A
ADANITRANSUS$500M4.25%N360521R                              XS2080214864        VN3B      AdaniTran n4.25%360521R
ADDVALUE TECHNOLOGIES LTD                                   SG1I67883666        A31       Addvalue Tech
ADECOAGRO US$500M 6% N270921A                               US00676LAA44        81BB      Adecoagro n6%270921A
ADECOAGRO US$500M 6% N270921R                               USL00849AA47        81CB      Adecoagro n6%270921R
ADVANCED HOLDINGS LTD.                                      SG1CD5000001        BLZ       Advanced^
ADVANCED SYSTEMS AUTOMATION                                 SG2E65980228        5TY       Advanced Systems
ADVANCER GLOBAL LIMITED                                     SG1CJ7000006        43Q       Advancer Global
ADVENTUS HOLDINGS LIMITED                                   SG1P24916816        5EF       Adventus
AEGEAFINAN US$400M5.75%241010A                              US00775CAA45        81ZB      AEGEAFin n5.75%241010A
AEGEAFINAN US$400M5.75%241010R                              USP01014AA03        82AB      AEGEAFin n5.75%241010R
AEI CORPORATION LTD                                         SG1AJ1000006        AWG       AEI^
AEI CORPORATION LTD W210527                                 SG5HE5000009        CTPW      AEI W210527^
AEM HOLDINGS LTD                                            SG1BA1000003        AWX       AEM
AEV INTL US$400M4.2%N300116                                 XS2093792013        QJMB      Aev Intl n4.2%300116S
AF GLOBAL LIMITED                                           SG1C01001033        L38       AF Global
AGILEGRP US$100M 6.875%PCS T                                XS1799643173        8QBB      AgileGrp6.875% PCS T
AGILEGRP US$200M 5.125%N220814                              XS1659119629        7H4B      AgileGrp n5.125%220814S
AGILEGRP US$200M7.75%PCS                                    XS2081524675        JMYB      AgileGrp7.75% PCS S
AGILEGRP US$200M8.5%N210718                                 XS1856094724        RXGB      AgileGrp n8.5%210718S
AGILEGRP US$400M 6.875%PCS                                  XS1785422731        8LQB      AgileGrp6.875% PCS S
AGILEGRP US$400M9.5%N201123                                 XS1900869683        LJUB      AgileGrp n9.5%201123S
AGILEGRP US$500M6.7%N220307                                 XS1959497782        PYRB      AgileGrp n6.7%220307S
AGILEGRP US$500M7.875%PCS                                   XS2071413483        WH7B      AgileGrp7.875% PCS S
AGILEGRPUS$600M 8.375%PCS                                   XS2003471617        PQAB      AgileGrp8.375% PCS S
AGRICULTBKCHINA US$500MF220923                              XS2053843590        FPJB      AgriBkOfChina f220923S
AGV GROUP LIMITED                                           SG1DB3000005        1A4       AGV
AIMS APAC REIT                                              SG2D63974620        O5RU      AIMS APAC Reit
AIMS APACREITS$100M3.6%N241112                              SGXF43003080        48IB      AIMS APACRn3.6%241112S
AIMS PROPERTY SECURITIES FUND                               AU000000APW5        BVP       AIMS Property
ALAMSYNERGYUS$175M11.5%210422                               XS1937702311        YXQB      AlamSyne n11.5%210422 S
ALAMSYNERGYUS$225M9%190129A                                 US010733AB91        2X0B      AlamSyne9%190129A
ALAMSYNERGYUS$225M9%190129R                                 USY00371AB37        2X1B      AlamSyne9%190129R
ALAMSYNERGYUS$245M6.625%220424                              XS1504809499        60QB      AlamSyne n6.625%220424 S
ALCANDELA US$50M7.5%N281215T                                USE0R75QAB45        UMYB      AlCandela n7.5%281215T
ALCANDELA US$650M7.5%N281215A                               US001355AA49        NAFB      AlCandela n7.5%281215A
ALCANDELA US$650M7.5%N281215R                               USE0R75QAA61        MVJB      AlCandela n7.5%281215R
ALIBABA PICTURES GROUP LIMITED                              BMG0171W1055        S91       AliPictures HKD
ALIBABA US$1.75B4.2%N471206                                 US01609WAV46        8CWB      Alibaba n4.2%471206S
ALIBABA US$1B 4%N371206                                     US01609WAU62        8CTB      Alibaba n4%371206S
ALIBABA US$1B 4.4%N571206                                   US01609WAW29        8CUB      Alibaba n4.4%571206S
ALIBABA US$2.55B3.4%N271206                                 US01609WAT99        8CVB      Alibaba n3.4%271206S
ALIBABA US$700M2.8%N230606                                  US01609WAS17        8CSB      Alibaba n2.8%230606S
ALITA RESOURCES LIMITED                                     AU0000031270        40F       Alita Resources
ALLGREEN S$250M3.15%N250116                                 SGXF82593314        LGPB      Allgreen n3.15%250116S
ALLIANCE HEALTHCARE GROUP LTD                               SGXE65282837        MIJ       Alliance HC
ALLIED TECHNOLOGIES LIMITED                                 SG1O07910928        A13       Allied Tech
ALPHA ENERGY HOLDINGS LIMITED                               SG2D85975506        5TS       Alpha Energy
ALPHA HLDG US$300M10%N221219A                               US02074AAA25        8NAB      AlphaHldg n10%221219A
ALPHA HLDG US$300M10%N221219R                               USP1000TAA53        8NBB      AlphaHldg n10%221219R
ALPHA HLDG US$400M9%N250210A                                US02074AAB08        9CUB      AlphaHldg n9%250210A
ALPHA HLDG US$400M9%N250210R                                USP1000TAB37        QEMB      AlphaHldg n9%250210R
ALUMINUM CORP OF CHINA ADR 10                               US0222761092        K3HD      ACH ADR US$
AMARA HOLDINGS LTD                                          SG1F08854688        A34       Amara
AMCOR EUR300M2.75%230322                                    XS0907606379        2RSB      Amcor n2.75%230322S
AMOS GROUP LIMITED                                          SG2F28986253        RF7       AMOS
AMP GROUP USD300M4%N210914                                  XS1961019699        GNUB      AMP Grp n4%210914S
AMPLEFIELD LIMITED                                          SG1AG0000003        AOF       Amplefield Ltd
AMPLEFIELD LIMITED W221218                                  SG5GA4000000        1G7W      Amplefield Ltd W221218
AMTD INTERNATIONAL INC. OV                                  KYG2957E1017        HKB       AMTD IB OV
AMTEK INDIA US$70M2.5%CB170921                              XS0828492206        2IGB      AmtekIndc2.5%170921S
ANAHOLDINGS JPY70B Z220916                                  XS1673841885        7X0B      ANAHoldings z220916S
ANAHOLDINGS JPY70B Z240919                                  XS1673858426        7W9B      ANAHoldings z240919S
ANAN INTERNATIONAL LIMITED                                  BMG036111034        Y35       AnAn Intl^
ANCHOR RESOURCES LIMITED                                    SG1CG7000002        43E       Anchor Resources
ANCHUN INTERNATIONAL HLDGS LTD                              SG1CI5000000        BTX       Anchun Intl^
ANLLIANCAPITAL EUR1B Z250205                                XS2089160506        VQLB      AnllianCapital z250205S
ANNAIK LIMITED                                              SG1O45913009        A52       AnnAik
ANNAIK LIMITED W241009                                      SGXN58836366        VAIW      AnnAik W241009
ANNICA HOLDINGS LIMITED                                     SG1J70891671        5AL       Annica
AOXIN Q & M DENTAL GRP LIMITED                              SG1DF9000000        1D4       Aoxin Q & M
AOZORA BK US$300M2.55%B220909                               XS2047472613        IINB      AozoraBk b2.55%220909S
AOZORA BK US$300M2.75%B200309                               XS1567177115        6G3B      AozoraBk b2.75%200309S
AOZORA BK US$300M3.81%B210907                               XS1873220658        FGAB      AozoraBk b3.81%210907S
AP OIL INTERNATIONAL LIMITED                                SG1K10892752        5AU       AP Oil
APAC REALTY LIMITED                                         SG1DJ0000001        CLN       APAC Realty
APLREALTYHLDUS300M5.95%N240602                              XS1617833584        71YB      APLRealty n5.95%240602S
APTPIPE EUR650M2%N270322                                    XS1205616698        26NB      APTPipe n2%270322S
APTPIPE EUR700M1.375%N220322                                XS1205616268        26PB      APTPipe n1.375%220322S
APTPIPE GBP350M4.25%N241126                                 XS0858000606        2MGB      APTPipe4.25%241126S
APTPIPE GBP400M3.125%N310718                                XS1963555534        JDWB      APTPipe n3.125%310718S
APTPIPE GBP600M3.5%N300322                                  XS1205617829        26OB      APTPipe n3.5%300322S
APTPIPE JPY10B1.025%N340613                                 XS2008992880        ILGB      APTPipe n1.025%340613S
ARA US HOSPITALITY TRUST                                    SGXC80011726        XZL       ARA HTrust USD
ARAAMS$100M4.15%N240423                                     SGXF61065755        YE7B      ARAAM n4.15%240423S
ARAAMS$300M5.2%PERPSEC                                      SG7EB6000007        77OB      ARAAMn5.2%PerSec S
ARAAMS$300M5.65%PERPSEC                                     SG7ND7000003        8MCB      ARAAMn5.65%PerSec S
ARAAMS$350M5.6%PERPSEC                                      SGXF15643061        UFEB      ARAAMn5.6%PerpSec S
ARION ENTERTAINMENT SINW200505                              SGXN77517252        8I9W      Arion Ent W200505
ARION ENTERTAINMENT SPORE LTD                               SGXE42663133        YYB       Arion Ent
ARMFWHI S$111M2.635%B200429                                 SG55G4992043        2UAB      ARMFW b2.635%200429S
ARTIVISION TECHNOLOGIES LTD.                                SG1X21941023        5NK       Artivision Tech
ASAHI ML USD350M7.25%PERSEC                                 XS1548424461        67QB      Asahi ML 7.25%PSec S
ASAHI ML USD430M6.5%PERPBOND                                XS1852563086        PLNB      Asahi ML 6.5%PerpBondS
ASAHIGRP EUR600M0.321%B210919                               XS1577953760        7X1B      AsahiGrp b0.321%210919S
ASAHIGRP EUR600M1.151%B250919                               XS1577951715        7X2B      AsahiGrp b1.151%250919S
ASCENDAS INDIA TRUST                                        SG1V35936920        CY6U      Ascendas-iTrust
ASCENDAS REAL ESTATE INV TRUST                              SG1M77906915        A17U      Ascendas Reit
ASCENDAS S$200M3.265%N250906                                SGXF70974849        XFMB      Ascendas n3.265%250906S
ASCENDASH-BTS$70M3.325%N220923                              SG74H3000003        4U4B      Asc HR-BTsn3.325%220923S
ASCENDASITRUSTS$30M3.9%N201005                              SG6ZD3000003        35YB      AscendiTrustn3.9%201005S
ASCENDASPTE S$100M2.965%210316                              SG71D8000003        3T2B      AscendasPte2.965%210316S
ASCENDASPTE S$130M2.68%210510                               SG72C2000009        4B6B      AscendasPten2.68%210510S
ASCENDASPTE S$75M3.5%260324                                 SG71F6000000        3U9B      AscendasPte n3.5%260324S
ASCENDASPTELTDS$200M3.5%230118                              SG70J2000008        38ZB      AscendasPten3.5%230118S
ASCENDASREIT S$150M3.2%N220603                              SG6XB9000006        30JB      AscendasR n3.2%220603S
ASCENDASREIT S$200M2.47%230810                              SG7FD5000001        7F4B      AscendasR n2.47%230810S
ASCENDASREIT S$200M4%N220203                                SG6S90978767        7XDB      AscendasRn4%220203S
ASCENDASREITHK$1.45B3.57%29032                              XS1966016948        EEEB      AscendasR n3.57%290320S
ASCENDASREITHK$729M3.66%250516                              XS1821449243        8UPB      AscendasR n3.66%250516S
ASCENDASREITS$100M2.95%N200803                              SG6YH3000007        33UB      AscendasR n2.95%200803S
ASCENDASREITS$130M2.655%210407                              SG71H4000008        3X0B      AscendasR n2.655%210407S
ASCENDASREITS$200M3.14%N250302                              SG7NA4000002        8KUB      AscendasR n3.14%250302S
ASCENDASREITS$300M4.75%PERPSEC                              SG6ZD6000000        36BB      AscendasR n4.75%PerSecS
ASCOTT REIT S$150M3.88%PERPSEC                              SGXF19322878        KNMB      AscottReit3.88%PerSec S
ASCOTT RESIDENCE TRUST                                      SGXC16332337        HMN       Ascott Trust
ASCOTTREIT S$250M4.68%PERPSEC                               SG6YC3000008        31XB      AscottReit4.68%PerSecS
ASCOTTRMTN EUR80M2.75% N241219                              XS1150786074        22OB      AscottRMn2.75%241219S
ASCOTTRMTN S$120M 4% N240322                                SG71F2000004        3U6B      AscottRMn4%240322S
ASCOTTRMTNS$100M 3.523%N231109                              SGXF25483649        YYTB      AscottRM n3.523%231109S
ASCOTTRMTNS$200M 4.205%N221123                              SG6ZJ0000003        37NB      AscottRM n4.205%221123S
ASIA CEMENT US$215M Z230921                                 XS1819591345        MQHB      AsiaCement z230921S
ASIA ENTERPRISES HOLDING LTD                                SG1S11926551        A55       Asia Enterprises
ASIA FASHION HOLDINGS LIMITED                               BMG0539Q1217        BQI       Asia Fashion^
ASIA VETS HOLDINGS LTD.                                     SG2B95959500        5RE       Asia Vets
ASIAMEDIC LIMITED                                           SG0505000059        505       AsiaMedic
ASIAN HEALTHCARE SPECIALISTS                                SG1ED9000003        1J3       Asian Healthcare
ASIAN MICRO HOLDINGS LTD                                    SG1H05873721        585       Asian Micro
ASIAN PAY TELEVISION TRUST                                  SG2F77993036        S7OU      Asian Pay Tv Tr
ASIAPHOS LIMITED                                            SG2G24997246        5WV       AsiaPhos
ASIATIC GROUP (HOLDINGS) LTD                                SG1N86910089        5CR       Asiatic
ASIATRAVEL.COM HOLDINGS LTD                                 SG1J72891703        5AM       Asiatravel.com
ASL MARINE HLDGS W240723                                    SGXN46430124        WG2W      ASL M W240723^
ASL MARINE HOLDINGS LTD                                     SG1N25909283        A04       ASL Marine^
A-SMART HOLDINGS LTD.                                       SG1CF3000008        BQC       A-Smart
A-SONIC AEROSPACE LIMITED                                   SG1CH8000009        BTJ       A-Sonic Aero^
ASPEN (GROUP) HOLDINGS LIMITED                              SG1DI2000001        1F3       Aspen
ASPIAL CORPORATION LIMITED                                  SG1G71871634        A30       Aspial
ASPIAL S$50M6.5%N230320                                     SGXF39054444        SIIB      Aspial n6.5%230320S
ASPIAL TREA S$150M5.25%B200828                              SG31A4000007        BEYZ      AspialTrea 5.25%b200828
ASPIAL TREA S$50M5.9%N210419                                SG7OH8000001        8RPB      AspialTrea n5.9%210419S
ASPIAL TREA S$50M6.25%N211011                               SGXF18413694        YOHB      AspialTrea n6.25%211011S
ASTAKA HOLDINGS LIMITED                                     SG1CB5000005        42S       Astaka
ASTI HOLDINGS LIMITED                                       SG1G77872271        575       ASTI^
ASTREA III US$100M6.5%N260708                               XS1432391875        4H1B      AstreaIIIn6.5%260708S
ASTREA III US$170M4.65%N260708                              SG73E6000009        4H3B      AstreaIIIn4.65%260708S
ASTREA IV S$242M4.35%B280614                                SGXF92571078        RMRB      Astrea IV4.35%B280614#
ASTREA IV US$110M6.75%B280614                               XS1830904709        HXGB      AstreaIVb6.75%280614S
ASTREA IV US$210M5.5%B280614                                SGXF73912119        LUKB      AstreaIVb5.5%280614S
